Number Nine,Aesop Rock,86,245.64390022675738,/home/kaileen/Documents/CSC475/Project/music_repo/02 Number Nine.m4a
Spandex,Duck Sauce,63,268.1208163265306,/home/kaileen/Documents/CSC475/Project/music_repo/11 Spandex.m4a
Help Me Lose My Mind (feat. London Grammar) [Paul Woolford Remix],Disclosure,122,428.77968253968254,/home/kaileen/Documents/CSC475/Project/music_repo/11 Help Me Lose My Mind (feat. London Grammar) [Paul Woolford Remix].m4a
Do You Wanna Dance,The Beach Boys,74,139.1804081632653,/home/kaileen/Documents/CSC475/Project/music_repo/Do You Wanna Dance.m4a
New Energy (Beyond the Wizard's Sleeve Re-Animation),Daniel Avery,62,420.9545578231293,/home/kaileen/Documents/CSC475/Project/music_repo/03 New Energy (Beyond the Wizard's Sleeve Re-Animation).m4a
Candle Coast,Crackazat,122,354.1275283446712,/home/kaileen/Documents/CSC475/Project/music_repo/11 Candle Coast.m4a
Anthem,Blink-182,107,217.3619954648526,/home/kaileen/Documents/CSC475/Project/music_repo/Anthem.m4a
No Brains,Sum 41,88,166.32453514739228,/home/kaileen/Documents/CSC475/Project/music_repo/No Brains.m4a
The Black Pearl,Klaus Badelt,61,136.28,/home/kaileen/Documents/CSC475/Project/music_repo/The Black Pearl.flac
Pursuit Of Happiness (Nightmare),Kid Cudi Feat. Mgmt & Ratatat,58,295.2649433106576,/home/kaileen/Documents/CSC475/Project/music_repo/13 Pursuit Of Happiness (Nightmare).m4a
WDPK 83.7 FM,Daft Punk,111,28.328344671201815,/home/kaileen/Documents/CSC475/Project/music_repo/02 WDPK 83.7 FM.m4a
All Messed Up,Sum 41,94,164.62947845804987,/home/kaileen/Documents/CSC475/Project/music_repo/All Messed Up.m4a
Knowing We'll Be Here (KiNK Remix),Daniel Avery,122,334.0190476190476,/home/kaileen/Documents/CSC475/Project/music_repo/02 Knowing We'll Be Here (KiNK Remix).m4a
They Frontin' (feat. Monty Luke),Catz n' Dogz,122,395.80734693877554,/home/kaileen/Documents/CSC475/Project/music_repo/01 They Frontin' (feat. Monty Luke).m4a
All I Need (Remixed by Roman Flügel),Daniel Avery,118,590.9478458049887,/home/kaileen/Documents/CSC475/Project/music_repo/01 All I Need (Remixed by Roman Flügel).m4a
Let's Stay Home (A Director's Cut Classic Club Mix),"Frankie Knuckles, Director's Cut & Inaya Day",116,466.0244897959184,/home/kaileen/Documents/CSC475/Project/music_repo/01 Let's Stay Home (A Director's Cut Classic Club Mix).m4a
High Fidelity,Daft Punk,126,362.53315192743764,/home/kaileen/Documents/CSC475/Project/music_repo/10 High Fidelity.m4a
Homeward Bound,Simon and Garfunkel,95,148.46839002267575,/home/kaileen/Documents/CSC475/Project/music_repo/Homeward Bound.m4a
A Hold On Love,Erol Alkan,120,400.03337868480725,/home/kaileen/Documents/CSC475/Project/music_repo/01 A Hold On Love.m4a
4000 Miles (feat. Damon C Scott) [Playmode Remix],Oscar G & DMS12,124,309.70775510204084,/home/kaileen/Documents/CSC475/Project/music_repo/02 4000 Miles (feat. Damon C Scott) [Playmode Remix].m4a
One Last Shot,Klaus Badelt,60,286.02666666666664,/home/kaileen/Documents/CSC475/Project/music_repo/One Last Shot.flac
Bucovina,Dirty Culture,124,468.32326530612244,/home/kaileen/Documents/CSC475/Project/music_repo/01 Bucovina.m4a
Califuture (Original Mix),Claude Vonstroke feat. Barry Drift,122,441.59709750566896,/home/kaileen/Documents/CSC475/Project/music_repo/01 Califuture (Original Mix).m4a
Colt,Dense & Pika,126,386.1246258503401,/home/kaileen/Documents/CSC475/Project/music_repo/01 Colt.m4a
Inside What's Within Behind (demo),Meshuggah,67,250.84517006802722,/home/kaileen/Documents/CSC475/Project/music_repo/13 Inside What's Within Behind (demo).m4a
Baretta,Glimpse,120,420.0489795918367,/home/kaileen/Documents/CSC475/Project/music_repo/01 Baretta.m4a
The Trap,Fantastic Mr Fox,124,340.5902947845805,/home/kaileen/Documents/CSC475/Project/music_repo/01 The Trap.m4a
Day N Nite (Nightmare),Kid Cudi,138,222.79546485260772,/home/kaileen/Documents/CSC475/Project/music_repo/07 Day N Nite (Nightmare).m4a
Give You Up (Darius Remix) [feat. KLP],Crayon,108,324.94004535147394,/home/kaileen/Documents/CSC475/Project/music_repo/07 Give You Up (Darius Remix) [feat. KLP].m4a
Wednesday Morning 3.am,Simon and Garfunkel,102,131.75002267573697,/home/kaileen/Documents/CSC475/Project/music_repo/Wednesday Morning 3.am.m4a
Get Into the Music (Serious Club Mix),DJ's Rule,122,329.02675736961453,/home/kaileen/Documents/CSC475/Project/music_repo/05 Get Into the Music (Serious Club Mix).m4a
Walk the Plank,Klaus Badelt,61,118.61333333333333,/home/kaileen/Documents/CSC475/Project/music_repo/Walk the Plank.flac
Latch (feat. Sam Smith),Disclosure,61,256.9520181405896,/home/kaileen/Documents/CSC475/Project/music_repo/03 Latch (feat. Sam Smith).m4a
Love Can't Turn Around,Farley 'Jackmaster' Funk,122,339.22031746031746,/home/kaileen/Documents/CSC475/Project/music_repo/03 Love Can't Turn Around.m4a
Into the Valley feat. Karl Dixon (Julio Bashmore Remix),"CLASSIXX, Karl Dixon",124,350.5748752834467,/home/kaileen/Documents/CSC475/Project/music_repo/05 Into the Valley feat. Karl Dixon (Julio Bashmore Remix).m4a
Coltrane (feat. Chris the Voice),Format:B & Pleasurekraft,126,447.425306122449,/home/kaileen/Documents/CSC475/Project/music_repo/01 Coltrane (feat. Chris the Voice).m4a
Skull and Crossbones,Klaus Badelt,70,203.98666666666668,/home/kaileen/Documents/CSC475/Project/music_repo/Skull and Crossbones.flac
Adam's Song,Blink-182,68,249.66095238095238,/home/kaileen/Documents/CSC475/Project/music_repo/Adam's Song.m4a
A Life Belt,René Breitbarth,123,382.47909297052155,/home/kaileen/Documents/CSC475/Project/music_repo/02 A Life Belt.m4a
